S/N	LINE ITEM	Unit	Tier 4 	Tier 3 	Tier 2	Tier 1 	Tier 0
389	GLYCERYL TRINITRATE TABLET - 5MG	Tab/5mg	 35.28 	 40.32 	 47.88 	 55.44 	 75.60 
390	GRAMIDIN + MAXISPORIN EYE DROP - (NOVASPORIN)	Per pkt	 1,499.40 	 1,713.60 	 2,325.60 	 2,692.80 	 3,672.00 
391	GRISEOFULVIN CREAM - (FULCIN)	Tube/15g	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
392	GRISEOFULVIN SYRUP - (FULCIN)	Blt/60ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
393	GRISEOFULVIN TABLET - 500MG	Tab/500mg	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
394	HAEMACCEL INFUSION	Tube/500ml	 21,168.00 	 24,192.00 	 28,728.00 	 33,264.00 	 45,360.00 
395	HALFANTRINE SYRUP - 100MG/5ML (HALFAN)	Blt/60ml	 1,058.40 	 1,209.60 	 1,436.40 	 1,663.20 	 2,268.00 
396	HALFANTRINE TABLET - 250MG (HALFAN)	Tab/250mg	 191.10 	 218.40 	 259.35 	 300.30 	 409.50 
397	HALOPERIDOL TABLET - 5MG (SERENACE)	Tab/5mg	 23.52 	 26.88 	 31.92 	 36.96 	 50.40 
398	HAMASIL INFUSION - 500ML	Tube/500ml	 4,410.00 	 5,040.00 	 5,985.00 	 6,930.00 	 9,450.00 
399	HEMATINIC +  MULTIVITAMIN CAPSULE - (EMZORON)	Cap/1	 70.56 	 80.64 	 95.76 	 110.88 	 151.20 
400	HEMATINIC + MULTIVITAMIN CAPSULE - (OBRON - 6)	Cap/1	 73.50 	 84.00 	 99.75 	 115.50 	 157.50 
401	HEMATINIC SYRUP - (EMZORON)	Blt/100ml	 1,352.40 	 1,545.60 	 1,835.40 	 2,125.20 	 2,898.00 
402	HEMATINIC SYRUP - (RANFERON)	Blt/100ml	 1,352.40 	 1,545.60 	 1,835.40 	 2,125.20 	 2,898.00 
403	HEMATROPINE + METHYLBROMIDE ORAL DROP - (NOSPAMIN) 	Tube/10ml	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
404	HEMATROPINE + METHYLBROMIDE SYRUP - (NOSPAMIN)	Blt/50ml	 735.00 	 840.00 	 997.50 	 1,155.00 	 1,575.00 
405	HEPATITIS A + HEPATITIS B - (TWINRIX)	Dose/1	 20,580.00 	 23,520.00 	 27,930.00 	 32,340.00 	 44,100.00 
406	HEPATITIS A VACCINE	Dose/1	 24,990.00 	 28,560.00 	 33,915.00 	 39,270.00 	 53,550.00 
407	HEPATITIS B IMMUNOGLOBIN	Per pkt	 114,660.00 	 131,040.00 	 155,610.00 	 180,180.00 	 245,700.00 
408	HEPATITIS B IMMUNOGLOBIN(INFANT) 	Per pkt	 114,660.00 	 131,040.00 	 155,610.00 	 180,180.00 	 245,700.00 
409	HEPATITIS B VACCINE	Dose/1	 8,820.00 	 10,080.00 	 11,970.00 	 13,860.00 	 18,900.00 
410	HEXEDENE SOLUTION	Blt/100ml	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
411	HIB(HAEMOPHILIUS INFLAZEA)VACCINE	Dose/1	 4,410.00 	 5,040.00 	 5,985.00 	 6,930.00 	 9,450.00 
412	HUMAN CHORIONIC GONADOTROPHIN - 1500 U	Vial/1500iu	 20,580.00 	 23,520.00 	 27,930.00 	 32,340.00 	 44,100.00 
413	HUMAN MENOPAUSAL GONADOTROPHIN(FSH) - 75IU	Vial/75iu	 4,410.00 	 5,040.00 	 5,985.00 	 6,930.00 	 9,450.00 
414	HYDRALLAZINE INJECTION - (NORVATIS)	Tab/20mg	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
415	HYDRAZZALINE TABLET - 25MG	Tab/25mg	 55.86 	 63.84 	 75.81 	 87.78 	 119.70 
416	HYDROBROMIDE EYE DROP - (HOMATROPINE)	Tube/10ml	 3,150.00 	 4,050.00 	 4,950.00 	 5,850.00 	 6,750.00 
417	HYDROCHLOROTHIAZIDE TABLET - 25MG(ESIDREX) 	Tab/25mg	 102.90 	 117.60 	 139.65 	 161.70 	 220.50 
418	HYDROCORTISONE CREAM - 20G 	Tube/20g	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
419	HYDROCORTISONE EAR DROP - (OTOSPOPRIN)	Tube/10ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
420	HYDROCORTISONE INJECTION  - 100MG	Vial/100mg	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
421	HYDROGEN PEROXIDE SOLUTION - 2 LTR	Cont. Per 2liters	 1,617.00 	 1,848.00 	 2,194.50 	 2,541.00 	 3,465.00 
422	HYDROXYPROGESTERON INJECTION - (PRIMOLUT DEPOT)	Vial/250mg	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
423	HYDROXYUREA CAPSULE - 250MG(HYDRINE)	Tab/250mg	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
424	HYOSCINE BUTHYLBROMIDE SYRUP - 5MG/5ML(BUSCOPAN)	Blt/100ml	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
425	HYOSCINE BUTHYLBROMIDE TABLET - 10MG (BUSCOPAN)	Tab/10mg	 58.80 	 67.20 	 79.80 	 92.40 	 126.00 
426	HYOSCINE N BUTHYLBROMIDE INJECTION - 20MG/ML(BUSCOPAN)	Amp/20mg	 323.40 	 369.60 	 438.90 	 508.20 	 693.00 
427	IBUPROFEN SYRUP - 100MG/5ML ( BRUFEN)	Blt/60ml	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
428	IBUPROFEN TABLET - 200MG	Tab/200mg	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
429	IBUPROFEN TABLET - 400MG	Tab/400mg	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
430	IMIPRAMINE TABLET - 25MG(TOFRANIL)	Tab/25mg	 70.56 	 80.64 	 95.76 	 110.88 	 151.20 
431	INACTIVATED POLIO VACCINE (IPV)	Vial/1	 2,646.00 	 3,024.00 	 3,591.00 	 4,158.00 	 5,670.00 
432	INDAPAMIDE TABLET - 1.5MG(NATRILIX-SR)	TAB/1.5Mg	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
433	INFACOL SOLUTION - (SIMETICONE)	Per Blt	 4,116.00 	 4,704.00 	 5,586.00 	 6,468.00 	 8,820.00 
434	INFUSION SET	PCS	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
435	INSULIN 70/30 INJECTION - 100IU/ML(NORVOMIX)	Vial/100iu	 17,640.00 	 20,160.00 	 23,940.00 	 27,720.00 	 37,800.00 
436	INSULIN GLARGINE - 100IU/ML(LANCTUS) 	Vial/100iu	 17,640.00 	 20,160.00 	 23,940.00 	 27,720.00 	 37,800.00 
437	INSULIN INJECTION -( BIOSULIN REGULAR/ACTRAPID)	Vial/100iu	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
438	INSULIN INJECTION 70/30 - (VIAL FOR CADTRIGES)	Vial/10iu	 17,640.00 	 20,160.00 	 23,940.00 	 27,720.00 	 37,800.00 
439	INSULIN INJECTION 70/30 - 100IU/ML (HUMULIN 70/30)	Vial/100iu	 26,460.00 	 30,240.00 	 35,910.00 	 41,580.00 	 56,700.00 
440	IODINE TINCTURE	Blt/20ml	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
441	IOPIDINE EYE DROP	Per pkt	 2,646.00 	 3,024.00 	 3,591.00 	 4,158.00 	 5,670.00 
442	IRBESARTAN  TABLET - 150MG(APROVEL)	Tab/150mg	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
443	IRBESARTAN + HCT TABLET - 150/12.5MG(CO-APROVEL)	Tab/162.5mg	 646.80 	 739.20 	 877.80 	 1,016.40 	 1,386.00 
444	IRBESARTAN + HCT TABLET - 300/12.5MG(CO-APROVEL)	Tab/1312.5mg	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
445	IRON DEXTRAN INJECTION	Vial/50mg	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
446	ISONIAZID TABLET - 300MG(INH)	Tab/300mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
447	ISORDINITRATE TABLET - 10MG	Tab/10mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
448	ISOSORBIDE DINITRATE TABLET - 5MG (ISORDIL)	Tab/5mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
449	ITRACONAZOL TABLET - 100MG (ITRANOX)	Tab/100mg	 279.30 	 319.20 	 379.05 	 438.90 	 598.50 
450	ITRACONAZOLE CAPSULE -  500MG(SPORANOX)	Tab/5oomg	 323.40 	 369.60 	 438.90 	 508.20 	 693.00 
451	IUCD: COPPER-T	Set/1	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
452	IVERMECTIN TABLET - 3MG(MECTIZAN)	Tab/3mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
453	KEMI CREAM - (CLOTRI AND BECLOME)	Per pkt	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
454	KETAMINE INJECTION - 50MG	Vial/50mg	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
455	KETOCONAZOLE CREAM - (KETOFUNG)	Tube/15g	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
456	KETOCONAZOLE CREAM - 15G (NIZORAL)	Tube/15g	 5,880.00 	 6,720.00 	 7,980.00 	 9,240.00 	 12,600.00 
457	KETOCONAZOLE SHAMPOO - 35G (NIZORAL)	Pkt/35g	 11,760.00 	 13,440.00 	 15,960.00 	 18,480.00 	 25,200.00 
458	KETOCONAZOLE TABLET - 200MG 	Tab/200mg	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
459	KETOCONAZOLE TABLET - 200MG (HOVID)	Tab/200mg	 97.02 	 110.88 	 131.67 	 152.46 	 207.90 
460	KETOCONAZOLE TABLET - 200MG (NIZORAL)	Tab/200mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
461	KETOPROFEN CAPSULE - 150MG (ORUVAIL)	Cap/150mg	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
462	KETOPROFEN TABLET - 150MG(KETONAL RETARD)	Tab/150mg	 73.50 	 84.00 	 99.75 	 115.50 	 157.50 
463	KETOTIFEN EYE DROP  - (ZADITEN)	Tube/10ml	 3,600.00 	 4,800.00 	 6,000.00 	 7,200.00 	 8,520.00 
464	KETOTIFEN SYRUP - (ZADITEN)	Blt/200ml	 7,644.00 	 8,736.00 	 10,374.00 	 12,012.00 	 16,380.00 
465	KNEE BRACE	Piece/1	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
466	KNEEL SUPPORT	Piece/1	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
467	LABETATOL HYDROCHLORIDE INJECTION - 50MG/10ML	Per ampule	 4,116.00 	 4,704.00 	 5,586.00 	 6,468.00 	 8,820.00 
468	LABETELOL TABLET - 100MG	Tab/100mg	 167.58 	 191.52 	 227.43 	 263.34 	 359.10 
469	LACTULOSE SUSPENSION - (DUPHALAC)	Per tube	 4,704.00 	 5,376.00 	 6,384.00 	 7,392.00 	 10,080.00 
470	LAMIVIDINE TABLET - 150MG	Tab/150mg	 73.50 	 84.00 	 99.75 	 115.50 	 157.50 
471	LANSOPRAZOLE TABLET - 30MG(LANZOSIL)	Tab/30mg	 105.84 	 120.96 	 143.64 	 166.32 	 226.80 
472	LEVETIRACETAM TABLET - 500MG(KEPPRA)	Tab/500mg	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
473	LEVOCETIRIZINE HCL 5MG	Tab/5mg	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
474	LEVODOPA TABLET - 125MG (MALDOPA)	Tab/125mg	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
475	LEVOFLOXACIN  TABLET - 500MG	Tab/500mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
476	LEVOFLOXACIN INFUSION(PLUS INFUSION SET)	Per tube	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
477	LEVONORGESTREL- 0.15 + ETHINYLESTRADIOL- 0.03 + FERROUS FUMARATE- 75MG TABLET  (LEVOFEN)	Tab/75.18	 420.42 	 480.48 	 570.57 	 660.66 	 900.90 
478	LEVONORGESTREL IMPLANT  - 75MG(JADELLE)	STICK/75Mg	 35,280.00 	 40,320.00 	 47,880.00 	 55,440.00 	 75,600.00 
479	LEVONORGESTREL TABLET - (POSTINOR) 	Pkt/2tab	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
480	LEVOTHYROXINE TABLET - 100MCG	Tab/100mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
481	LIGNOCAINE HYDROCHLORIDE CREAM  - (XYLOCAINE)	Tube/15g	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
482	LIGNOCAINE HYDROCHLORIDE INJECTION - 20MG(XYLOCAINE) 	Vial/20mg	 1,176.00 	 1,344.00 	 1,596.00 	 1,848.00 	 2,520.00 
483	LINAGLIPTIN TABLET - 5MG	Tab/5mg	 823.20 	 940.80 	 1,117.20 	 1,293.60 	 1,764.00 
484	LINCOCIN SYRUP	blt/100ml	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
485	LINCOMYCIN CAPSULE - 500MG	Cap/500mg	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
486	LINIMENT - 30G (NERVE AND BORNE)	Blt/30g	 1,058.40 	 1,209.60 	 1,436.40 	 1,663.20 	 2,268.00 
487	LISINOPRIL TABLET - 10MG	Tab/10mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
488	LISINOPRIL TABLET - 10MG (ZESTRIL)	Tab/10mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
489	LISINOPRIL TABLET - 20MG	Tab/20mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
490	LIVER FORTE CAPSULE	Cap/1	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
491	LONART SUPPOSITORY - 140MG	Supp/140mg	 199.92 	 228.48 	 271.32 	 314.16 	 428.40 
492	LOPERAMIDE CAPSULE - 2MG (LOPERAX)	Tab/2mg	 161.70 	 184.80 	 219.45 	 254.10 	 346.50 
493	LOPERIMIDE CAPSULE - 2MG (IMODIUM)	Cap/2mg	 164.64 	 188.16 	 223.44 	 258.72 	 352.80 
494	LORATADINE SYRUP - 5MG/5ML(LORACTIVE)	Per Blt	 1,293.60 	 1,478.40 	 1,755.60 	 2,032.80 	 2,772.00 
495	LORATADINE TABLET - 10MG (LORATYN)	Cap/10mg	 102.90 	 117.60 	 139.65 	 161.70 	 220.50 
496	LOSARTAN TABLET - 25MG(ROSART)	Tab/25mg	 138.18 	 157.92 	 187.53 	 217.14 	 296.10 
497	LOSARTAN TABLET - 50MG(ROSART)	Tab/50mg	 138.18 	 157.92 	 187.53 	 217.14 	 296.10 
498	LUMBAR CORCET	Per pkt	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
499	LUMBAR JACKET	1 unit	 25,284.00 	 28,896.00 	 34,314.00 	 39,732.00 	 54,180.00 
500	MAGNESIUM SULPHATE INJECTION	Per pkt	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
501	MANITOL 10% INFUSION - 500ML (PLUS INFUSION SET)	Tube/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
502	MANITOL 20% INFUSION - 500ML  (PLUS INFUSION SET)	Tube/500ml	 1,146.60 	 1,310.40 	 1,556.10 	 1,801.80 	 2,457.00 
503	MANNIX CAPSULE	Cap/1	 352.80 	 403.20 	 478.80 	 554.40 	 756.00 
504	MAXI VISION CAPSULE	CAP/1	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
505	MAXITROL EYE DROP	Blt/1	 5,500.00 	 8,250.00 	 9,900.00 	 11,000.00 	 12,650.00 
506	MEASLE VACCINE	Per dose	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
507	MEBENDAZOLE TABLET - 100MG (VEMOX)	Tab/100mg	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
508	MEDROXYPROGESTRONE ACETATE INJ - 150MG/ML(DEPO-PROVERA)	Vial/150mg	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
509	MEFANAMIC ACID BP CAPSULE - 500MG(POSTAN)	Cap/500mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
510	MENINGICOCCAL VACCINE	Dose/1	 8,820.00 	 10,080.00 	 11,970.00 	 13,860.00 	 18,900.00 
511	MEPYRAMIN MALEATE CREAM - 15G (ANTHISAN)	Tube/15g	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
512	MEPYRAMIN MALEATE CREAM - 15G (MEPISAN)	Tube/15g	 2,940.00 	 3,360.00 	 3,990.00 	 4,620.00 	 6,300.00 
513	MERCONERV FORTE TABLET	Tab/1	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
514	MEROPENEME INJECTION - 1G(NURONEM)	Per Vial	 14,700.00 	 16,800.00 	 19,950.00 	 23,100.00 	 31,500.00 
515	MESTEROLONE TABLET - 25MG (PROVIRON)	Tab/25mg	 70.56 	 80.64 	 95.76 	 110.88 	 151.20 
516	METFORMIN HCL TABLET - 500MG (DIAMET)	Tab/500mg	 67.62 	 77.28 	 91.77 	 106.26 	 144.90 
517	METFORMIN HCL TABLET - 500MG (GLUCOPHAGE)	Tab/500mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
518	METFORMIN/SITAGLIPTIN 1000MG/50MG (TREVIA MET)	Tab	 558.60 	 638.40 	 758.10 	 877.80 	 1,197.00 
519	METFORMIN-1000 + VILDAGLIPTIN-50 TABLET - 1050MG (GALVUSMET)	Tab/1	 646.80 	 739.20 	 877.80 	 1,016.40 	 1,386.00 
520	METFORMIN-500 + GLIMEPERIDE 2MG TAB - 502MG	Tab/1	 129.36 	 147.84 	 175.56 	 203.28 	 277.20 
521	METFORMIN-500 + GLIPIZIDE 5 TABLET - 505MG(SWIBETIC)	Per tab	 41.16 	 47.04 	 55.86 	 64.68 	 88.20 
522	METFORMIN-500 + VILDAGLIPTIN-50 TABLET - 550MG (GALVUSMET)	Per tab	 646.80 	 739.20 	 877.80 	 1,016.40 	 1,386.00 
523	METFORMIN-500 + VILDAGLIPTIN-50 TABLET - 550MG (TREVIAMET)	TAB	 470.40 	 537.60 	 638.40 	 739.20 	 1,008.00 
524	METHACARBAMOL INJECTION - 750MG	Vial/1	 735.00 	 840.00 	 997.50 	 1,155.00 	 1,575.00 
525	METHACARBAMOL TABLET - 500MG (ROBAXIN)	Tab/500mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
526	METHYL PREDNISOLINE INJECTION - 40MG(DEPO-MEDROL)	Vial/40mg	 4,410.00 	 5,040.00 	 5,985.00 	 6,930.00 	 9,450.00 
527	METHYL PREDNISOLONE SODIUM SUCCINATE  INJECTION - 500MG	500MG/TAB	 12,936.00 	 14,784.00 	 17,556.00 	 20,328.00 	 27,720.00 
528	METHYL SALICYLATE CREAM -( ABONIKI BALM)	Tube/25g	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
529	METHYL SALICYLATE OINTMENT- 35G (NEUROGESIC)	Tube/30g	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
530	METHYL SALICYLATE SPRAY - DEEP HEAT SPRAY	BTL	 3,822.00 	 4,368.00 	 5,187.00 	 6,006.00 	 8,190.00 
531	METHYLATED SPIRIT - (4LITRES)	Cont. Per 2liters	 735.00 	 840.00 	 997.50 	 1,155.00 	 1,575.00 
532	METHYLCOBALAMINE TABLET - (500MG)MEBAAL	Tab/1	 294.00 	 336.00 	 399.00 	 462.00 	 630.00 
533	METHYLDOPA TABLET - 250MG	Tab/250mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
534	METHYLDOPA TABLET - 250MG (ALDOMET)	Tab/250mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
535	METHYLROSANILINIUM CHLORIDE - GENTIAN VIOLET PAINT	Blt/10ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
536	METOCLOPRAMIDE INJECTION - 10MG/2ML (PLASIL)	Vial/10mg	 288.12 	 329.28 	 391.02 	 452.76 	 617.40 
537	METOCLOPROMIDE TABLET -  10MG(PLASIL)	Tab/10mg	 58.80 	 67.20 	 79.80 	 92.40 	 126.00 
538	METOLAZONE TABLET -  5MG	Tab/5mg	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
539	METOLAZONE TABLET - 10MG	Tab/10mg	 382.20 	 436.80 	 518.70 	 600.60 	 819.00 
540	METOPROLOL TARTATE TABLET -  50MG	Tab/50mg	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
541	METRONIDAZOLE  OVULE  - 500MG	ovule/1	 164.64 	 188.16 	 223.44 	 258.72 	 352.80 
542	METRONIDAZOLE INFUSION - 500MG/100ML (FLAGYL)(PLUS INFUSION SET)	Tube/100ml	 970.20 	 1,108.80 	 1,316.70 	 1,524.60 	 2,079.00 
543	METRONIDAZOLE SYRUP -200MG/5ML(FLAGYL)	Blt/60ml	 705.60 	 806.40 	 957.60 	 1,108.80 	 1,512.00 
544	METRONIDAZOLE TABLET - 200MG	Tab/200mg	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
545	METRONIDAZOLE TABLET - 400MG	Tab/400mg	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
546	MICONAZOLE CREAM - 	Tube/15g	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
547	MICONAZOLE NITRATE LOTION - 20G (FUNGOSOL)	Tube/20g	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
548	MICONAZOLE NITRATE POWDER - 20G (FUNGOSOL)	Tube/20g	 2,058.00 	 2,352.00 	 2,793.00 	 3,234.00 	 4,410.00 
549	MICROGYN TABLET (ORAL CONTRACEPTIVE - COC) - 10MG	card/30	 2,352.00 	 2,688.00 	 3,192.00 	 3,696.00 	 5,040.00 
550	MISOPROSTOL TABLET - 200MCG(CYTOTEC)	Tab/0.2mg	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
551	MIST KAOLIN SYRUP -200ML (MOKO)	Blt/200ml	 323.40 	 369.60 	 438.90 	 508.20 	 693.00 
552	MIST POTASIUM CITRATE SOLUTION - 3.5MG/10ML (200ML)	Blt/200ml	 1,764.00 	 2,016.00 	 2,394.00 	 2,772.00 	 3,780.00 
553	MMR + CHICKEN POX VACCINE	Vial/1	 26,754.00 	 30,576.00 	 36,309.00 	 42,042.00 	 57,330.00 
554	MMR(MEASLES,MUMPS & RUBELLA) VACCINE	Dose/1	 20,580.00 	 23,520.00 	 27,930.00 	 32,340.00 	 44,100.00 
555	MMR(MEASLES,MUMPS & RUBELLA) VACCINE- (PRIORIX)	Dose/1	 -   	 -   	 -   	 -   	 -   
556	MONTELUCAST/LEVOCEFTRIZINE TABLET - 10/5MG	Tab/1	 161.70 	 184.80 	 219.45 	 254.10 	 346.50 
557	MONTELUKAST TABLET  - 1OMG	Tab/1	 205.80 	 235.20 	 279.30 	 323.40 	 441.00 
558	MOUTH WASH SOLUTION	Blt/200ml	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
559	MULTIVITAMIN  CAPSULE - (OMEGA H3) 	Cap/1	 47.04 	 53.76 	 63.84 	 73.92 	 100.80 
560	MULTIVITAMIN  SYRUP - (EMVITE)	Blt/100ml	 882.00 	 1,008.00 	 1,197.00 	 1,386.00 	 1,890.00 
561	MULTIVITAMIN  TABLET - (EMZOR MULTIVITE)	Tab/1	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
562	MULTIVITAMIN CAPSULE  (ALPHABETIC)	Cap/1	 411.60 	 470.40 	 558.60 	 646.80 	 882.00 
563	MULTIVITAMIN CAPSULE - (REVITAL)	Cap/1	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
564	MULTIVITAMIN CAPSULE - (SALVITE)	Cap/1	 44.10 	 50.40 	 59.85 	 69.30 	 94.50 
565	MULTIVITAMIN CAPSULE - (SUPRADYN)	Cap/1	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
566	MULTIVITAMIN ORAL DROP	Cap/1	 499.80 	 571.20 	 678.30 	 785.40 	 1,071.00 
567	MULTIVITAMIN ORAL DROP - (ABIDEC)	Tube/15ml	 2,028.60 	 2,318.40 	 2,753.10 	 3,187.80 	 4,347.00 
568	MULTIVITAMIN TABLET 	Tab/1	 88.20 	 100.80 	 119.70 	 138.60 	 189.00 
569	MUPIROCIN OINTMENT - 15G (BACTROBAN)	Tube/15g	 7,056.00 	 8,064.00 	 9,576.00 	 11,088.00 	 15,120.00 
570	MUPIROCIN OINTMENT - 15G (MUPIDERM)	Tube/15g	 4,410.00 	 5,040.00 	 5,985.00 	 6,930.00 	 9,450.00 
571	MYCOTA POWDER	Tube/15g	 1,470.00 	 1,680.00 	 1,995.00 	 2,310.00 	 3,150.00 
572	NALIDAXIC ACID TABLET - 500MG (NALIDEX)	Tab/500mg	 144.06 	 164.64 	 195.51 	 226.38 	 308.70 
573	NAPROXEN TABLET - 500MG (NAXEN) 	Tab/500mg	 85.26 	 97.44 	 115.71 	 133.98 	 182.70 
574	NEEDLE - 21G	per/1	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
575	NEEDLE - 22G	per/1	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
576	NEEDLE - 23G	per/1	 29.40 	 33.60 	 39.90 	 46.20 	 63.00 
577	NEEDLE - INSULIN	per/1	 147.00 	 168.00 	 199.50 	 231.00 	 315.00 
578	NEOMYCIN SUPHATE POWDER - (CICATRIN)	Tube/15g	 588.00 	 672.00 	 798.00 	 924.00 	 1,260.00 
579	NEVIRAPINE  SYRUP	Per Blt	 5,586.00 	 6,384.00 	 7,581.00 	 8,778.00 	 11,970.00 
580	NEVIRAPINE TABLET - 200MG (VIRAMUNE)	Tab/200mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
581	NIFEDIPINE TABLET - 20MG	Tab/20mg	 117.60 	 134.40 	 159.60 	 184.80 	 252.00 
582	NIFEDIPINE TABLET - 20MG(ADALAT)	Tab/20mg	 123.48 	 141.12 	 167.58 	 194.04 	 264.60 
583	NIFEDIPINE TABLET - 30MG	Tab/30mg	 235.20 	 268.80 	 319.20 	 369.60 	 504.00 
584	NIMODIPINE TABLET  - 30MG	Tab/30mg	 173.46 	 198.24 	 235.41 	 272.58 	 371.70 
585	NITRAZEPAM TABLET - 5MG 	Tab/5mg	 32.34 	 36.96 	 43.89 	 50.82 	 69.30 
586	NITRAZEPEEM TABLET - 5MG (SWIDON)	Tab/5mg	 99.96 	 114.24 	 135.66 	 157.08 	 214.20 
587	NITROFURATOIN TABLET - 100MG (NITROVARD)	Tab/100mg	 55.86 	 63.84 	 75.81 	 87.78 	 119.70 
588	NORETHISTERONE  TABLET - 5MG(PRIMOLUT N)	Tab/5mg	 176.40 	 201.60 	 239.40 	 277.20 	 378.00 
